date,description,amount,category
2025-10-01,Tim Hortons,-6.75,Food
2025-10-01,Salary,2500.0,Income
2025-10-03,Shell,-52.1,Gas
2025-10-05,Rent,-1450.0,Housing
2025-10-07,Amazon,-34.22,Shopping
2025-10-09,Netflix,-17.99,Entertainment
2025-10-10,Loblaws,-123.45,Groceries
2025-10-11,Tim Hortons,-8.5,Food
2025-10-12,Uber,-14.3,Transport
2025-10-14,Hydro One,-98.0,Utilities
2025-10-15,Freelance Payment,750.0,Income
2025-10-16,McDonald's,-12.75,Food
2025-10-17,Costco,-210.88,Groceries
2025-10-18,Spotify,-11.99,Entertainment
2025-10-19,Shell,-48.6,Gas
2025-10-21,LCBO,-38.4,Shopping
2025-10-22,Rogers,-85.0,Utilities
2025-10-23,Tim Hortons,-5.25,Food
2025-10-24,Amazon,-67.99,Shopping
2025-10-25,Salary,2500.0,Income
2025-10-26,Gym Membership,-54.99,Health
2025-10-27,Subway,-9.8,Food
2025-10-28,Uber Eats,-28.5,Food
2025-10-29,IKEA,-145.0,Shopping
2025-10-30,Canadian Tire,-32.15,Shopping
2025-11-01,Rent,-1450.0,Housing
2025-11-02,Tim Hortons,-7.25,Food
2025-11-03,Shell,-55.3,Gas
2025-11-04,Loblaws,-98.75,Groceries
2025-11-05,Netflix,-17.99,Entertainment
2025-11-06,Salary,2500.0,Income
2025-11-07,Amazon,-22.49,Shopping
2025-11-08,Hydro One,-102.5,Utilities
2025-11-09,Uber,-18.75,Transport
2025-11-10,McDonald's,-10.45,Food
2025-11-11,Freelance Payment,500.0,Income
2025-11-12,Spotify,-11.99,Entertainment
2025-11-13,Costco,-187.6,Groceries
2025-11-14,Shell,-44.8,Gas
2025-11-15,Tim Hortons,-6.5,Food
2025-11-16,Rogers,-85.0,Utilities
2025-11-17,Gym Membership,-54.99,Health
2025-11-18,Uber Eats,-32.0,Food
2025-11-19,Amazon,-89.95,Shopping
2025-11-20,Salary,2500.0,Income
2025-11-21,LCBO,-45.2,Shopping
2025-11-22,Pharmacy,-23.6,Health
2025-11-23,Tim Hortons,-8.0,Food
2025-11-24,Subway,-11.25,Food
2025-11-25,Best Buy,-229.99,Shopping
2025-11-26,Canadian Tire,-56.4,Shopping
2025-11-28,Shell,-50.1,Gas
2025-11-29,Loblaws,-134.2,Groceries
2025-11-30,Hydro One,-110.0,Utilities
